pump_power_w,output_energy_j,m2,shg_efficiency
5,2.52645e-06,1.00207,2.77958e-17
15.1282,2.58078e-06,1.00627,2.83935e-17
25.2564,2.63628e-06,1.01046,2.90041e-17
35.3846,2.69297e-06,1.01466,2.96279e-17
45.5128,2.75089e-06,1.01886,3.0265e-17
55.641,2.81004e-06,1.02305,3.09159e-17
65.7692,2.87047e-06,1.02725,3.15807e-17
75.8974,2.9322e-06,1.03144,3.22598e-17
86.0256,2.99526e-06,1.03564,3.29536e-17
96.1538,3.05967e-06,1.03984,3.36623e-17
106.282,3.12547e-06,1.04403,3.43862e-17
116.41,3.19268e-06,1.04823,3.51256e-17
126.538,3.26134e-06,1.05242,3.5881e-17
136.667,3.33148e-06,1.05662,3.66526e-17
146.795,3.40312e-06,1.06082,3.74408e-17
156.923,3.4763e-06,1.06501,3.8246e-17
167.051,3.55106e-06,1.06921,3.90685e-17
177.179,3.62743e-06,1.0734,3.99086e-17
187.308,3.70543e-06,1.0776,4.07669e-17
197.436,3.78512e-06,1.08179,4.16435e-17
207.564,3.86652e-06,1.08599,4.25391e-17
217.692,3.94966e-06,1.09019,4.34539e-17
227.821,4.0346e-06,1.09438,4.43883e-17
237.949,4.12136e-06,1.09858,4.53429e-17
248.077,4.20999e-06,1.10277,4.6318e-17
258.205,4.30053e-06,1.10697,4.7314e-17
268.333,4.39301e-06,1.11117,4.83315e-17
278.462,4.48748e-06,1.11536,4.93709e-17
288.59,4.58398e-06,1.11956,5.04326e-17
298.718,4.68256e-06,1.12375,5.15171e-17
308.846,4.78325e-06,1.12795,5.26249e-17
318.974,4.88611e-06,1.13215,5.37566e-17
329.103,4.99119e-06,1.13634,5.49126e-17
339.231,5.09852e-06,1.14054,5.60935e-17
349.359,5.20816e-06,1.14473,5.72997e-17
359.487,5.32016e-06,1.14893,5.85319e-17
369.615,5.43457e-06,1.15313,5.97906e-17
379.744,5.55143e-06,1.15732,6.10764e-17
389.872,5.67081e-06,1.16152,6.23898e-17
400,5.79276e-06,1.16571,6.37315e-17
